round,algo,per_error,abs_error,accuracy,skim_precision,skim_recall,detail_precision,detail_recall,read_precision,read_recall
30,SecondTrainer,0.2803923542411572,1.7586206896551724,0.8672985781990521,0.5238095238095238,0.3793103448275862,0.8888888888888888,0.8,0.7333333333333333,0.5641025641025641
30,AlgoTrainerNoPat,0.2335667548299164,1.4942528735632183,0.9052132701421801,0.7142857142857143,0.5172413793103449,1.0,0.8,0.8620689655172413,0.6410256410256411
30,AlgoTrainer,0.22906711145542746,1.4770114942528736,0.9052132701421801,0.7368421052631579,0.4827586206896552,1.0,0.8,0.8888888888888888,0.6153846153846154
30,Algo1,0.44283121027049854,1.971264367816092,0.8246445497630331,0.3333333333333333,0.20689655172413793,0.5714285714285714,0.4,0.68,0.4358974358974359
30,Algo2,0.45142271429041797,2.1551724137931036,0.8293838862559242,0.38095238095238093,0.27586206896551724,0.6,0.3,0.6923076923076923,0.46153846153846156
30,Algo3,0.5260758868824189,2.5517241379310347,0.8341232227488151,0.4782608695652174,0.3793103448275862,0.2,0.1,0.7142857142857143,0.5128205128205128
30,SessionTrainer,0.37742273321275893,2.735632183908046,0.8151658767772512,0.4,0.41379310344827586,0.3333333333333333,0.1,0.6060606060606061,0.5128205128205128
30,SessionCatTrainer,0.0,0.0,0.7488151658767772,0.28,0.4827586206896552,,0.0,0.44,0.5641025641025641
31,LogTrainer,0.3139214061925058,2.2528735632183907,0.8672985781990521,0.5217391304347826,0.41379310344827586,1.0,0.7,0.7333333333333333,0.5641025641025641
31,SecondTrainerNoPat,0.2443913202938758,1.471264367816092,0.8957345971563981,0.6666666666666666,0.4827586206896552,1.0,0.8,0.8275862068965517,0.6153846153846154
31,SecondTrainer,0.24446504405181005,1.5114942528735633,0.8909952606635071,0.6363636363636364,0.4827586206896552,1.0,0.7,0.8275862068965517,0.6153846153846154
31,AlgoTrainerNoPat,0.23943157715656005,1.603448275862069,0.9052132701421801,0.6956521739130435,0.5517241379310345,1.0,0.7,0.8666666666666667,0.6666666666666666
31,AlgoTrainer,0.2532880830769605,1.6551724137931034,0.8909952606635071,0.65,0.4482758620689655,0.875,0.7,0.8571428571428571,0.6153846153846154
31,Algo1,0.44283121027049854,1.971264367816092,0.8246445497630331,0.3333333333333333,0.20689655172413793,0.5714285714285714,0.4,0.68,0.4358974358974359
31,Algo2,0.45142271429041797,2.1551724137931036,0.8293838862559242,0.38095238095238093,0.27586206896551724,0.6,0.3,0.6923076923076923,0.46153846153846156
31,Algo3,0.5260758868824189,2.5517241379310347,0.8341232227488151,0.4782608695652174,0.3793103448275862,0.2,0.1,0.7142857142857143,0.5128205128205128
31,SessionTrainer,1.0,3.281609195402299,0.8151658767772512,,0.0,,0.0,,0.0
31,SessionCatTrainer,0.0,0.0,0.5639810426540285,0.22807017543859648,0.896551724137931,,0.0,0.30701754385964913,0.8974358974358975
32,LogTrainer,0.3870004532378757,2.8035714285714284,0.821917808219178,0.5,0.5238095238095238,0.5,0.5,0.65625,0.6774193548387096
32,SecondTrainerNoPat,0.4225158747838753,2.7767857142857144,0.8013698630136986,0.5,0.42857142857142855,0.3333333333333333,0.4,0.6333333333333333,0.6129032258064516
32,SecondTrainer,0.4362209399701712,2.7142857142857144,0.8013698630136986,0.5,0.38095238095238093,0.3076923076923077,0.4,0.6551724137931034,0.6129032258064516
32,AlgoTrainerNoPat,0.41265610376288353,2.5089285714285716,0.821917808219178,0.5454545454545454,0.5714285714285714,0.4,0.4,0.65625,0.6774193548387096
32,AlgoTrainer,0.40039225482504437,2.5535714285714284,0.821917808219178,0.55,0.5238095238095238,0.36363636363636365,0.4,0.6774193548387096,0.6774193548387096
32,Algo1,0.3979805306878128,3.25,0.815068493150685,0.47368421052631576,0.42857142857142855,0.375,0.3,0.7037037037037037,0.6129032258064516
